"Name","Window","LearningRate","MaxDepth","MinChildWeight","Gamma","rmse_XGB","mae_XGB","Energy_Consumed"
"revived-sweep-353","4","0.1","3","3","1","5.57995728195123","4.2456146838772675","1.2855142716716729e-8"
"honest-sweep-143","4","0.1","7","1","0","5.61993335749207","4.291199626897996","1.9848422267109023e-8"
"cerulean-sweep-363","4","0.1","5","1","1","5.904684315017124","4.371898421748992","1.506327256594078e-8"
"giddy-sweep-133","4","0.1","5","3","0","5.432252602996286","4.04266920874811","1.8929978378865705e-8"
"noble-sweep-413","4","1","1","3","1","6.399560738666356","4.727256397862588","8.992968417437118e-9"
"sparkling-sweep-373","4","0.1","5","3","1","5.245536921042271","4.02399079727665","2.4499004363431395e-8"
"giddy-sweep-18","4","0.01","1","4","0","41.89337850352632","40.91559865909699","1.2884835997384572e-8"
"whole-sweep-43","4","0.01","5","1","0","40.89927438595572","40.194845143176664","1.2385664761925202e-8"
"iconic-sweep-328","4","0.1","1","2","1","7.091201283575798","5.661279470529864","1.7352138878550252e-8"
"stilted-sweep-243","4","0.01","1","1","1","41.89337850352632","40.91559865909699","1.248173206338126e-8"
"twilight-sweep-178","4","1","1","4","0","6.157013620692315","4.588864472419984","6.836346505818054e-8"
"astral-sweep-408","4","1","1","2","1","6.399560738666356","4.727256397862588","1.2886883809844425e-8"
"colorful-sweep-263","4","0.01","3","1","1","40.90303688659878","40.199657260722496","1.2640122408432336e-8"
"copper-sweep-198","4","1","3","4","0","6.825275008022522","4.964414411778603","1.0155101988402751e-8"
"zany-sweep-318","4","0.01","7","4","1","40.89927438595572","40.194845143176664","1.1202558061616705e-8"
"sweet-sweep-283","4","0.01","5","1","1","40.89927438595572","40.194845143176664","1.3607713795712092e-8"
"apricot-sweep-448","4","1","5","2","1","5.359221329364817","4.0743934288763235","1.7181146538152666e-8"
"sleek-sweep-293","4","0.01","5","3","1","40.89927438595572","40.194845143176664","1.2403668137292496e-8"
"sparkling-sweep-368","4","0.1","5","2","1","5.5762850047157295","4.2194062289330265","1.2975963651847957e-8"
"misunderstood-sweep-418","4","1","1","4","1","6.157013620692315","4.588864472419984","1.3324833187956151e-8"
"grateful-sweep-278","4","0.01","3","4","1","40.90303688659878","40.199657260722496","2.3884025149653906e-8"
"revived-sweep-73","4","0.01","7","3","0","40.89927438595572","40.194845143176664","1.7267154661466423e-8"
"fresh-sweep-93","4","0.1","1","3","0","7.091201283575798","5.661279470529864","1.2843879748187544e-8"
"lucky-sweep-103","4","0.1","3","1","0","5.547369060086943","4.208546039999684","1.2816234279979551e-8"
"clean-sweep-378","4","0.1","5","4","1","5.237429034002751","3.96912400945848","1.3597474733412836e-8"
"vocal-sweep-333","4","0.1","1","3","1","7.091201283575798","5.661279470529864","2.1173691752159764e-8"
"flowing-sweep-468","4","1","7","2","1","6.6898148550740455","4.983762813641947","1.2716915375676764e-8"
"morning-sweep-158","4","0.1","7","4","0","4.9974769089581494","3.775882353358115","1.3009752557435503e-8"
"earthy-sweep-23","4","0.01","3","1","0","40.90303688659878","40.199657260722496","1.3852427384664326e-8"
"devout-sweep-128","4","0.1","5","2","0","5.446161954343118","4.105232317130796","1.251725366084126e-8"
"lively-sweep-248","4","0.01","1","2","1","41.89337850352632","40.91559865909699","1.2400289617744422e-8"
"glorious-sweep-478","4","1","7","4","1","6.415253284602132","4.668016179041707","8.822999983269457e-9"
"major-sweep-303","4","0.01","7","1","1","40.89927438595572","40.194845143176664","2.988167941415062e-8"
"fearless-sweep-403","4","1","1","1","1","6.399560738666356","4.727256397862588","1.3023063338424537e-8"
"hearty-sweep-463","4","1","7","1","1","6.775374846675391","4.7363923298497355","1.389850316501098e-8"
"dutiful-sweep-183","4","1","3","1","0","6.779062244140063","5.231636051104146","2.1097925761826747e-8"
"unique-sweep-348","4","0.1","3","2","1","5.575180390825577","4.2392168212890615","1.3820686291536631e-8"
"different-sweep-423","4","1","3","1","1","6.574819343078521","4.96598898866715","1.7170907475853407e-8"
"grateful-sweep-108","4","0.1","3","2","0","5.568728036958885","4.1815763764412175","1.5486339284633586e-8"
"effortless-sweep-343","4","0.1","3","1","1","5.541866130316971","4.209239207409273","1.1728845863798496e-8"
"icy-sweep-388","4","0.1","7","2","1","5.244681905188964","3.9904862263341103","2.40458189662402e-8"
"denim-sweep-338","4","0.1","1","4","1","7.091201283575798","5.661279470529864","1.2699508969768026e-8"
"royal-sweep-253","4","0.01","1","3","1","41.89337850352632","40.91559865909699","1.2795756155381042e-8"
