"Name","Window","Factor","Threshold","Init","rmse_TEDA_pond","rmse_TEDA_stack","rmse_TEDA_major","mae_TEDA_pond","mae_TEDA_stack","mae_TEDA_major","Energy_Consumed"
"happy-sweep-87","3","0.5","2","zero","6.403986971313716","6.403986971313717","6.403986971313717","41.01104912875583","41.01104912875584","41.01104912875584","2.9461398855169644e-8"
"glad-sweep-82","3","0.5","1.8","zero","6.403986971313716","6.403986971313717","6.403986971313717","41.01104912875583","41.01104912875584","41.01104912875584","3.8264651380788774e-8"
"ethereal-sweep-2","3","0.5","1.5","He","6.682157881863373","10.726359172110032","6.745089967278787","44.6512339581488","115.05478108910906","45.496238666684945","3.423225698510477e-8"
"winter-sweep-267","3","0.98","2.3","Yoshua","7.482265781065699","7.482265781065699","7.482265781065699","55.984301218506694","55.9843012185067","55.9843012185067","3.4218946204115736e-8"
"fresh-sweep-27","3","0.5","1.5","Xavier","6.719417507052093","7.021885169453174","6.8613309290644375","45.15057163407816","49.30687133298643","47.07786211813625","3.977435614577492e-8"
"colorful-sweep-317","3","0.99","2.3","He","7.1586484346625125","7.158648434662511","7.158648434662511","51.24624741109603","51.24624741109602","51.24624741109602","2.51256349761459e-8"
"woven-sweep-472","3","1","3","Yoshua","7.525783590851224","7.525783590851223","7.525783590851223","56.637418656325536","56.63741865632552","56.63741865632552","2.3589775631257404e-8"
"still-sweep-367","3","0.99","2.3","Yoshua","7.504873424521705","7.504873424521706","7.504873424521706","56.323125118092136","56.32312511809215","56.32312511809215","3.52786891520888e-8"
"wise-sweep-277","3","0.98","1.5","zero","8.288230261156832","13.917723733179692","8.114873707887607","68.69476086195583","193.7030339131133","65.85117529496557","3.003219362994969e-8"
"cosmic-sweep-252","3","0.98","1.5","Yoshua","7.446808502756737","7.517190399768209","7.492990284135036","55.45495687673002","56.50815150636733","56.144903398142056","2.974857160426028e-8"
"driven-sweep-17","3","0.5","2.3","He","5.8838027801284385","5.8838027801284385","5.8838027801284385","34.61913515544715","34.61913515544714","34.61913515544714","2.393380812451243e-8"
"firm-sweep-207","3","0.98","1.8","He","7.136877463658244","7.1368774636582435","7.1368774636582435","50.93501993127293","50.935019931272926","50.935019931272926","2.2629351587587132e-8"
"dark-sweep-332","3","0.99","1.8","Xavier","7.43359786990685","7.433597869906852","7.433597869906852","55.25837729148366","55.25837729148368","55.25837729148368","4.7238937823850496e-8"
"fast-sweep-262","3","0.98","2","Yoshua","7.482265781065699","7.482265781065699","7.482265781065699","55.984301218506694","55.9843012185067","55.9843012185067","3.8323786279887735e-8"
"ancient-sweep-427","3","1","1.5","Xavier","7.399615712737668","7.77588573863549","7.460648196812057","54.754312696194184","60.4643990203148","55.661271516595","3.3935135342315137e-8"
"efficient-sweep-7","3","0.5","1.8","He","5.8838027801284385","5.8838027801284385","5.8838027801284385","34.61913515544715","34.61913515544714","34.61913515544714","2.784001039167884e-8"
"major-sweep-327","3","0.99","1.5","Xavier","7.381024382013414","7.761442521949545","7.441823749712928","54.4795209278765","60.23999002152651","55.38074072179138","3.38419598753919e-8"
"zesty-sweep-412","3","1","2","He","7.178773200716098","7.178773200716097","7.178773200716097","51.53478466731964","51.534784667319634","51.534784667319634","3.0047552223398575e-8"
"dandy-sweep-147","3","0.75","3","Xavier","6.670699764497766","6.6706997644977655","6.6706997644977655","44.49823534807055","44.498235348070544","44.498235348070544","2.5033483415452593e-8"
"lilac-sweep-197","3","0.75","3","zero","7.288662179443484","7.288662179443483","7.288662179443483","53.12459636604983","53.12459636604982","53.12459636604982","3.5526152565555295e-8"
"lunar-sweep-232","3","0.98","1.8","Xavier","7.411143899697403","7.411143899697403","7.411143899697403","54.92505390202202","54.92505390202202","54.92505390202202","2.5761480744929742e-8"
"restful-sweep-387","3","0.99","2","zero","8.12594048920722","8.12594048920722","8.12594048920722","66.03090883413729","66.03090883413729","66.03090883413729","3.8649388461004096e-8"
"unique-sweep-337","3","0.99","2","Xavier","7.43359786990685","7.433597869906852","7.433597869906852","55.25837729148366","55.25837729148368","55.25837729148368","2.5767624182309296e-8"
"breezy-sweep-47","3","0.5","3","Xavier","6.010913823737486","6.010913823737487","6.010913823737487","36.13108499639841","36.131084996398414","36.131084996398414","3.002400238011028e-8"
"lilac-sweep-97","3","0.5","3","zero","6.403986971313716","6.403986971313717","6.403986971313717","41.01104912875583","41.01104912875584","41.01104912875584","2.7168327904847602e-8"
"charmed-sweep-357","3","0.99","1.8","Yoshua","7.504873424521705","7.504873424521706","7.504873424521706","56.323125118092136","56.32312511809215","56.32312511809215","2.9930826913187044e-8"
"true-sweep-237","3","0.98","2","Xavier","7.411143899697403","7.411143899697403","7.411143899697403","54.92505390202202","54.92505390202202","54.92505390202202","3.6330240850222455e-8"
"breezy-sweep-302","3","0.99","1.5","He","7.075927417799691","10.67506232582306","7.166415407749803","50.06874882196941","113.95695566020686","51.357509796433774","3.437355604483451e-8"
"wild-sweep-377","3","0.99","1.5","zero","8.311729915730401","13.938391584109793","8.136645502372374","69.0848541920477","194.27875995198264","66.20500003127658","3.8774305021055024e-8"
"fine-sweep-312","3","0.99","2","He","7.1586484346625125","7.158648434662511","7.158648434662511","51.24624741109603","51.24624741109602","51.24624741109602","3.0105914878504335e-8"
"proud-sweep-247","3","0.98","3","Xavier","7.411143899697403","7.411143899697403","7.411143899697403","54.92505390202202","54.92505390202202","54.92505390202202","3.755892832613325e-8"
"divine-sweep-222","3","0.98","3","He","7.136877463658244","7.1368774636582435","7.1368774636582435","50.93501993127293","50.935019931272926","50.935019931272926","2.520038013093048e-8"
"fast-sweep-407","3","1","1.8","He","7.178773200716098","7.178773200716097","7.178773200716097","51.53478466731964","51.534784667319634","51.534784667319634","3.2402536552227603e-8"
"hardy-sweep-322","3","0.99","3","He","7.1586484346625125","7.158648434662511","7.158648434662511","51.24624741109603","51.24624741109602","51.24624741109602","3.4583456821969275e-8"
"worldly-sweep-92","3","0.5","2.3","zero","6.403986971313716","6.403986971313717","6.403986971313717","41.01104912875583","41.01104912875584","41.01104912875584","2.5766600276079368e-8"
"earnest-sweep-457","3","1","1.8","Yoshua","7.525783590851224","7.525783590851223","7.525783590851223","56.637418656325536","56.63741865632552","56.63741865632552","3.896475157982119e-8"
"wandering-sweep-477","3","1","1.5","zero","8.33386250753655","13.957933812256044","8.157081305474335","69.45326429452338","194.82391630732056","66.53797542411888","2.946085395365117e-8"
"wandering-sweep-482","3","1","1.8","zero","8.147816285389041","8.147816285389043","8.147816285389043","66.38691022045087","66.3869102204509","66.3869102204509","3.1943826561220905e-8"
"unique-sweep-37","3","0.5","2","Xavier","6.010913823737486","6.010913823737487","6.010913823737487","36.13108499639841","36.131084996398414","36.131084996398414","2.5900731992199626e-8"
"easy-sweep-487","3","1","2","zero","8.147816285389041","8.147816285389043","8.147816285389043","66.38691022045087","66.3869102204509","66.3869102204509","2.574407433902101e-8"
"rosy-sweep-192","3","0.75","2.3","zero","7.288662179443484","7.288662179443483","7.288662179443483","53.12459636604983","53.12459636604982","53.12459636604982","2.996563972500452e-8"
"comic-sweep-257","3","0.98","1.8","Yoshua","7.482265781065699","7.482265781065699","7.482265781065699","55.984301218506694","55.9843012185067","55.9843012185067","2.972505336730238e-8"
"true-sweep-417","3","1","2.3","He","7.178773200716098","7.178773200716097","7.178773200716097","51.53478466731964","51.534784667319634","51.534784667319634","2.5513119709709524e-8"
"clean-sweep-462","3","1","2","Yoshua","7.525783590851224","7.525783590851223","7.525783590851223","56.637418656325536","56.63741865632552","56.63741865632552","3.023185534478519e-8"
"noble-sweep-272","3","0.98","3","Yoshua","7.482265781065699","7.482265781065699","7.482265781065699","55.984301218506694","55.9843012185067","55.9843012185067","2.5742026526561153e-8"
"kind-sweep-352","3","0.99","1.5","Yoshua","7.4670778666653055","7.535384975834514","7.513273932445965","55.75725186684289","56.78202673403252","56.44928518397205","3.559156242835747e-8"
